method,url,status_code,body_length,final_url,error,target_type,family,www_authenticate,path_payload,header_payload,method_payload,query_payload,protocol_payload,host_payload,smuggling_payload,interesting,confidence,score,reasons
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-For: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Real-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Originating-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),True-Client-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),Client-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Client-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),CF-Connecting-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Custom-IP-Authorization: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Custom-IP-Authorization: base64 127.0.0.1,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),Forwarded: for=,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),Forwarded-For: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Remote-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Remote-Addr: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-ProxyUser-Ip: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),Cluster-Client-IP: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-Host: loopback,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Host: origen,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,404,21,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),Host: localhost,,,,,,True,high,145,status_changed|length_changed|body_sample_changed|body_similarity_low|content_type_changed|deviates_from_calibration_status
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-Server: self,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Original-URL: path (proxy),,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Rewrite-URL: path,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Override-URL: path,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),Referer: same host,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-Proto: https,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-Proto: http,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-Port: 443,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-Port: 80,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Port: 443,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Port: 80,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),Origin: same host,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),User-Agent: Googlebot,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-AppEngine-Trusted-IP-Request: 1,,,,,,False,none,0,soft_403_marker|body_similarity_high
GET,https://flipper-admin.k8s.dm.gg/,403,146,https://flipper-admin.k8s.dm.gg/,,path,,,Ruta original (baseline),X-Forwarded-Scheme: https,,,,,,False,none,0,soft_403_marker|body_similarity_high
